,kposition,kposition,lposition,lposition,nposition,nposition,rposition,rposition,vposition,vposition,bestgrade3,bestgrade3,bestgrade4,bestgrade4,bestgrade5,bestgrade5,elm_01,elm_01,elm_02,elm_02,elm_03,elm_03,elm_04,elm_04,elm_05,elm_05,sarcasm,sarcasm,mcfiller1,mcfiller1,mcfiller2,mcfiller2,mcfiller3,mcfiller3,mcmost1,mcmost1,mcmost2,mcmost2,mcmost3,mcmost3,mcmost4,mcmost4,mcmost5,mcmost5,mcsome1,mcsome1,mcsome2,mcsome2,mcsome3,mcsome3,mcsome4,mcsome4,mcsome5,mcsome5,tempest2,tempest2,tempest3,tempest3,tempfollowup1,tempfollowup1,tempfollowup2,tempfollowup2,tempfollowup3,tempfollowup3,worstgrade3,worstgrade3,worstgrade4,worstgrade4,worstgrade5,worstgrade5
,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted,source,predicted
1,56.78832116788322,50.0,53.47322720694645,7.6,42.63959390862944,40.8,47.10564399421129,97.2,49.09616775126536,100.0,7.402031930333817,3.2,20.203488372093023,4.0,67.63425253991292,99.6,0.3561253561253561,0.2,4.199288256227758,1.7999999999999998,2.8469750889679712,,1.566951566951567,3.8,1.3532763532763532,1.6,9.290780141843971,5.2,60.851063829787236,14.000000000000002,65.13111268603828,97.6,74.89177489177489,100.0,15.159944367176633,,24.200278164116828,0.4,10.0,,24.166666666666668,4.8,2.0804438280166435,,52.470930232558146,84.8,26.4919941775837,4.2,34.68795355587808,32.4,56.25,6.0,46.288209606986904,100.0,0.28388928317955997,2.8000000000000003,0.28368794326241137,,,,,,4.332386363636364,,6.145251396648044,1.2,27.132867132867133,36.8,8.798882681564246,4.2
2,43.21167883211679,50.0,46.526772793053546,92.4,57.360406091370564,59.199999999999996,52.89435600578871,2.8000000000000003,50.90383224873464,,3.3381712626995643,0.4,18.168604651162788,15.2,11.46589259796807,0.2,1.282051282051282,1.4000000000000001,4.555160142348755,2.6,3.7010676156583626,,3.347578347578348,8.0,2.564102564102564,2.0,13.546099290780141,11.200000000000001,32.4113475177305,86.0,24.73423104181432,2.4,16.08946608946609,,84.84005563282336,100.0,75.79972183588318,99.6,90.0,100.0,75.83333333333333,95.19999999999999,97.91955617198336,100.0,47.52906976744186,15.2,73.5080058224163,95.8,65.31204644412192,67.60000000000001,43.75,94.0,53.7117903930131,,1.20652945351313,,29.929078014184395,40.0,0.14194464158977999,,0.07102272727272728,,8.877840909090908,1.4000000000000001,1.536312849162011,,17.902097902097903,3.4000000000000004,7.402234636871509,1.4000000000000001
3,,,,,,,,,,,9.433962264150944,5.0,18.313953488372093,40.8,6.821480406386067,,4.202279202279202,3.2,11.174377224199288,12.8,10.391459074733095,15.2,7.336182336182335,9.2,7.264957264957266,13.8,15.319148936170212,12.8,5.957446808510639,,8.929836995038979,,8.585858585858585,,,,,,,,,,,,,,,,,,,,,,10.645848119233499,0.4,39.9290780141844,58.8,0.21291696238466998,,0.6392045454545455,,6.036931818181818,0.2,7.262569832402235,6.0,14.545454545454545,5.4,10.754189944134078,8.799999999999999
4,,,,,,,,,,,11.175616835994195,12.4,26.01744186046512,30.599999999999998,2.7576197387518144,,9.401709401709402,22.0,15.587188612099645,16.0,11.743772241992882,11.4,13.390313390313391,5.4,12.82051282051282,4.8,12.056737588652481,11.200000000000001,0.7801418439716312,,0.7795889440113395,,0.4329004329004329,,,,,,,,,,,,,,,,,,,,,,21.291696238466997,7.000000000000001,29.858156028368793,1.2,2.0581973030518097,,4.829545454545454,3.2,39.70170454545455,36.4,8.379888268156424,4.6,23.216783216783217,48.4,9.636871508379889,11.4
5,,,,,,,,,,,12.62699564586357,8.200000000000001,11.918604651162791,9.4,2.6124818577648767,0.2,14.245014245014245,4.8,23.701067615658364,19.0,14.94661921708185,34.599999999999994,19.08831908831909,37.0,21.43874643874644,16.0,35.46099290780142,49.8,,,0.42523033309709424,,,,,,,,,,,,,,,,,,,,,,,,26.18878637331441,44.2,,,4.9680624556423,,8.522727272727272,,23.792613636363637,53.400000000000006,11.312849162011174,4.6,9.51048951048951,4.8,12.011173184357542,26.0
6,,,,,,,,,,,8.99854862119013,3.0,4.941860465116279,,1.1611030478955007,,20.299145299145298,20.4,16.15658362989324,28.199999999999996,21.494661921708186,33.800000000000004,22.07977207977208,18.2,23.575498575498578,15.4,14.326241134751774,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,36.40880056777856,45.6,,,35.202271114265436,58.599999999999994,44.60227272727273,59.0,12.997159090909092,8.0,9.35754189944134,9.0,5.734265734265734,1.2,8.379888268156424,5.6000000000000005
7,,,,,,,,,,,13.788098693759071,5.4,0.436046511627907,,2.9027576197387517,,25.85470085470086,29.2,15.94306049822064,12.2,18.505338078291814,3.8,19.444444444444446,7.8,19.017094017094017,28.999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97444996451384,,,,57.416607523066,41.4,41.33522727272727,37.8,4.261363636363636,0.6,15.921787709497206,5.0,1.9580419580419581,,12.70949720670391,34.2
8,,,,,,,,,,,13.497822931785198,9.2,,,2.1770682148040637,,13.603988603988604,15.6,4.98220640569395,4.8,10.391459074733095,1.2,8.903133903133902,3.0,6.98005698005698,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.569832402234638,6.800000000000001,,,8.798882681564246,8.0
9,,,,,,,,,,,3.6284470246734397,,,,1.0159651669085632,,10.754985754985755,3.2,3.7010676156583626,2.6,5.9786476868327405,,4.843304843304843,7.6,4.985754985754986,6.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4692737430167595,1.4000000000000001,,,3.6312849162011176,0.4
