,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,-0.06107604,-0.009754407,0.21184567,0.059801295,0.0026051747,-0.0958278,0.12859027,-0.19028732,0.039436568,-0.011341503,-0.0042027105,-0.05806414,0.12749702,0.13578072,-0.015194317,-0.0020053629,-0.055549785,-0.12637565,0.00826453,-0.022574091,-0.063522704,0.06981521,-0.030817058,0.11337159,0.010496681,0.08824688,-0.03496348,0.13486816,0.031553667,-0.08604989,0.079335436,0.14150189,-0.07216773,0.0287783,-0.024454933,-0.12611957,0.12561601,0.049003445,-0.08436898,-0.08345533,-0.03833117,0.044894286,0.07402336,-0.0704014,0.09306263,0.014566394,-0.030508645
class 2,0.03245993,0.07493766,-0.06351739,-0.040544085,-0.061731905,-0.030003171,0.10813071,-0.012077497,0.03579651,-0.0015763121,0.09214487,-0.106182,0.038106576,-0.059809614,-0.104603626,0.08835999,0.068010844,-0.10504779,-0.056060936,0.049695782,-0.07539902,0.10935525,0.109502666,0.06599147,-0.038839307,0.087057196,0.015078944,-0.11863596,-0.060533207,-0.045638453,-0.099676244,0.020749208,0.08137279,0.04295976,0.1135728,0.10852431,0.026629977,-0.014147777,0.12302334,-0.11799213,-0.017319605,0.0055627394,-0.012849506,-0.103784695,0.04395888,-0.08843429,-0.046435695
class 3,-0.07956716,0.10716645,0.0071481355,-0.011030943,-0.03871603,-0.03815145,-0.0898707,-0.03577216,0.073595315,-0.0060807844,-0.11950246,-0.0042052865,-0.055696104,0.016982878,-0.052096736,0.13307527,0.13073215,-0.033170134,-0.086478345,-0.062046338,-0.011511721,-0.08438156,-0.11181198,-0.087543674,-0.06994818,-0.108043596,0.073675096,0.13732174,-0.0005238946,0.081093185,0.060327772,-0.0036118822,0.09644684,0.13243032,-0.012392958,-0.015004347,0.1135167,0.12478063,-0.11484008,0.06152374,0.08210535,-0.026482226,0.08793784,-0.090382144,-0.09004945,-0.06003866,-0.07321754
class 4,0.09079206,-0.114831306,-0.117047064,0.08304995,-0.040508825,-0.06736547,0.07908812,0.053575646,-0.07145205,-0.06436212,0.060586322,-0.03312512,-0.05665778,0.10648964,0.10967523,-0.060560968,-0.04393484,-0.006439163,0.101019315,0.11635687,0.06315766,-0.004174452,0.102629066,-0.09528768,-0.1034,-0.1260516,0.109823056,-0.11474453,0.1475217,-0.12679936,-0.03999411,0.026369141,-0.007712714,-0.014313404,-0.015291814,0.12421189,-0.05890151,-0.0038746577,0.0689118,-0.123530604,-0.059198562,-0.05137333,-0.01550994,0.035849065,-0.01938388,0.09869918,0.020195263
class 5,-0.034020938,-0.0017614799,-0.059275236,0.040067993,-0.13405702,0.09124805,-0.020569814,0.10753688,-0.09057236,-0.05998984,-0.12592238,0.003189734,-0.08364545,-0.13991098,0.013689265,0.1401715,-0.09941271,0.08206754,0.04482569,0.12526774,0.09902419,-0.014322972,-0.12616768,0.047779717,0.09299125,0.005335757,-0.10126963,0.039366834,0.070969656,-0.029338147,-0.118577,-0.07856532,-0.11520797,0.11780273,-0.07064012,0.062482625,0.010602258,-0.10036833,-0.124385454,0.13233942,-0.09903235,0.0943657,0.074086726,0.13879251,0.031284284,-0.004925612,0.010070979
class 6,0.093230724,-0.08138483,-0.15963387,0.052714676,-0.03895678,0.018896593,-0.018020606,-0.05646475,-0.04057165,0.049909357,-0.13263035,-0.0076486287,-0.121490285,-0.06990647,0.022760712,0.04066274,-0.053431496,-0.06263797,0.1279376,-0.05962765,0.058498934,0.10935013,-0.14402482,-0.13765545,0.0044144555,-0.02371474,0.0071251635,-0.10721152,-0.070550084,0.06209353,0.106476,0.07613531,0.12686862,-0.00016356648,0.024845438,0.022865249,-0.10128971,0.034606464,-0.15613924,0.031342894,-0.023331197,0.058339253,-0.11554151,-0.06251285,0.05416966,0.063433886,0.057559926
class 7,0.05138698,-0.12612242,-0.13160507,0.08251372,-0.11587181,0.15056106,-0.061880596,-0.059395935,0.01886102,-0.051033597,-0.07684386,-0.11380387,-0.039223086,-0.034826186,-1.21324065e-05,-0.115522556,-0.08128039,0.11032058,-0.09288599,0.047300834,0.075339966,0.09616833,-0.022196291,-0.12723525,-0.025060805,0.07730412,0.044497166,-0.010403886,-0.0921392,-0.12284061,0.0032920702,-0.14308847,0.04823226,0.1467479,0.040258545,0.1163299,0.104704,0.0640876,0.121341735,-0.06135302,0.08180539,-0.11091649,0.07372362,-0.12872507,0.09930238,0.033886984,0.050021198
class 8,-0.037554655,-0.049268525,0.07785823,0.042807218,-0.022113146,0.060226645,-0.07600234,-0.007833898,-0.12797688,-0.07593928,-0.07296551,-0.006489417,0.0010561309,0.12229067,0.10298817,0.10335506,0.101475626,-0.15996218,0.12843883,-0.1053448,-0.05144471,-0.024973642,-0.06236836,0.10226847,0.020202547,0.07380578,-0.021279046,0.031989604,0.0018556796,0.03627539,0.12602688,-0.020411933,-0.0019770982,-0.14302942,-0.09906598,0.0812741,-0.108510755,-0.16680765,0.10395601,-0.13573718,0.001667518,0.10326255,-0.056499857,-0.023246244,-0.008119943,0.008522477,0.061781034
class 9,-0.08311483,0.11725692,-0.0989679,-0.024375007,-0.056261692,0.02644446,0.07851866,-0.021834275,0.04623273,-0.114865124,-0.116001874,-0.032025594,-0.089510605,0.13840081,-0.03822238,-0.05649517,0.034982853,-0.0022125475,0.0044751978,0.019074123,-0.11840372,-0.097877644,-0.11429176,0.11139804,-0.047181793,0.052298386,-0.013753577,-0.06998686,-0.049934283,-0.03700876,-0.052521463,-0.11042855,0.060112845,-0.063513875,-0.031078892,0.15094717,0.15254661,-0.13753192,0.026720455,0.11707804,-0.029388027,0.07780655,-0.06251158,0.11751618,-0.13465841,0.14313942,-0.056410354
class 10,0.10117023,0.051679995,-0.07632729,0.10959168,-0.03606268,-0.011060342,-0.12794805,0.16499403,-0.13784575,0.11935779,-0.06286186,0.1279916,-0.04304536,-0.029925141,0.12144358,-0.07650262,-0.08410506,-0.12537277,-0.0095263515,0.080589585,0.14894861,0.14254934,0.0070794947,0.1057679,-0.087692,-0.01083509,0.051754195,0.08765265,-0.14582536,-0.04342143,0.13765337,-0.124360114,-0.097796164,0.06341508,-0.08851745,0.090185896,-0.09404347,-0.06884112,-0.02150916,0.056608677,-0.091074005,-0.09164924,0.08191466,-0.1370921,-0.010613884,-0.09652608,0.003599314
