,big5_01,big5_02,big5_03,big5_04,big5_05,big5_06,big5_07,big5_08,big5_09,big5_10,gender,year,ethnicity,intrinsic_01,intrinsic_02,intrinsic_03,intrinsic_04,intrinsic_05,intrinsic_06,intrinsic_07,intrinsic_08,intrinsic_09,intrinsic_10,intrinsic_11,intrinsic_12,intrinsic_13,intrinsic_14,intrinsic_15,mood_01,mood_02,nfc_01,nfc_02,nfc_03,nfc_04,nfc_05,nfc_06,pate_01,pate_02,pate_03,pate_04,pate_05,selfesteem_01,stress_01,stress_02,stress_03,stress_04,Bias
class 1,0.0141793145,0.09737126,-0.12416715,-0.006012453,0.08218746,-0.10230752,0.10911022,-0.028877899,0.08719818,-0.06285217,0.053838756,0.09746681,-0.050035346,0.016497776,0.14590482,0.12409581,-0.1345694,0.044873763,-0.022895345,0.035488565,0.032849494,-0.08357047,0.067556776,0.07763013,-0.046035364,0.13805309,-0.037685677,-0.07521227,-0.06264382,-0.048180047,-0.06451677,-0.113913886,0.11808871,0.11276871,0.10063907,0.020846853,0.04086447,-0.13447309,-0.060802273,-0.03473945,0.10786161,-0.049611624,0.05370891,-0.07920849,-0.041539107,-0.049969662,0.13119362
class 2,0.027512666,0.14755042,0.033105116,-0.04200134,-0.05561383,0.009112537,-0.025976524,-0.020129114,0.028007753,-0.008005554,0.055834163,-0.08323256,-0.058599524,0.05814414,0.0702636,-0.03676212,0.09347049,-0.03203727,0.050575413,0.07039721,0.062481157,0.04230012,0.07763544,-0.11670365,-0.003809233,-0.005302524,-0.10301233,0.02984641,-0.12103452,-0.042606656,-0.03228774,-0.08973669,-0.062048648,-0.0139433285,0.13548642,-0.09713265,0.12655829,0.11584355,0.07692829,-0.0024287987,-0.04427967,-0.08333179,0.11479711,0.017250657,-0.090567335,-0.020135239,-0.047405533
class 3,0.052708875,0.07976106,-0.08100136,0.02335295,0.12571526,-0.10237544,0.10389248,-0.030760119,0.03311983,-0.019936243,-0.00037272595,0.013608655,0.025528753,-0.09018064,-0.07544241,0.05817916,-0.07899775,0.09839131,0.038045783,0.0038399259,-0.0784236,-0.04123782,0.11621633,-0.037574317,-0.0055508567,-0.009543917,-0.085605815,-0.025923314,0.038243275,-0.009889417,0.05826767,-0.09749521,-0.011594723,0.08038536,0.059229176,-0.0018158533,0.1496954,-0.030521017,0.063500896,-0.07913258,0.034905918,-0.06041291,0.022063904,-0.03198601,0.023171647,-0.06427024,-0.032712996
class 4,0.07998601,-0.07508159,-0.11951585,0.10829996,-0.029091068,0.10725684,0.1390541,0.062067628,0.057742,-0.005202849,0.0002806615,0.05500444,-0.099596635,0.111557834,-0.092974484,-0.123464614,0.039750915,-0.11113416,-0.09491678,0.09855787,0.024721518,-0.09889036,-0.105770394,0.15355578,0.0046504033,-0.13717572,-0.023007652,-0.10847834,-0.119257346,0.15625364,-0.050398543,0.06448037,-0.12682746,0.026639512,0.12199181,-0.12821937,0.100250326,0.12963358,-0.02312316,-0.059028167,-0.050503578,0.14243075,-0.038415577,0.13119394,-0.012671563,-0.059773393,-0.12476219
class 5,0.061719276,0.015840407,0.063180834,0.07394081,0.030397452,-0.07114716,-0.047139514,0.025631422,-0.0996444,0.07941601,-0.0027680153,-0.00778383,-0.107163705,0.0736476,-0.093508996,0.07410652,-0.0054813167,-0.084956355,-0.14878857,-0.038111195,-0.006533085,0.0068555763,0.061245803,-0.00399492,0.08698045,-0.158389,0.12291666,0.10963665,-0.007731012,0.0787402,-0.09652335,0.017190952,0.1286329,0.029087426,0.013205365,0.06638338,-0.03786792,-0.09089774,0.13923548,-0.13218795,0.11595938,-0.04186906,0.05811012,0.08380485,0.10571394,0.046721883,-0.008073807
class 6,-0.04980571,0.0042237937,0.104887106,0.0008243473,0.081463106,0.011667484,0.1254019,-0.08290017,-0.07174722,-0.068829395,-0.018513083,0.06039628,0.053523574,-0.0067894924,0.037724428,0.023486128,-0.027419504,0.017738286,-0.12773135,0.0148896985,-0.06806716,-0.054964673,-0.023996215,-0.012488334,0.028469509,0.09444701,-0.09578914,0.04806961,0.0022662245,-0.09231109,0.014120985,0.026553685,-0.015661716,-0.025277924,-0.05901548,0.039445248,0.03603857,-0.045790687,0.024546847,-0.12910077,0.06535263,0.13320674,-0.0473616,-0.09960167,0.057877008,0.0060043694,0.017661916
class 7,0.07999227,-0.016853638,0.030505655,0.012903012,0.11158386,-0.0750074,-0.042934343,0.14263465,0.078277715,-0.048689473,0.068149656,0.0037356438,-0.13844062,0.12900402,0.04294223,0.13139865,0.14050089,0.011633715,0.025420846,0.060108375,0.15490508,-0.0942803,0.03366911,-0.042818222,0.03257326,-0.096843,-0.026526408,-0.13222726,0.1393183,-0.09634584,-0.018135462,-0.003951032,0.09586082,-0.011965393,0.13345118,-0.08473168,-0.117394,0.021474253,-0.13333036,0.06911449,-0.12412752,0.10630425,-0.005476082,-0.083825395,-0.12937984,0.108370505,-0.08488752
class 8,-0.019275839,0.12330563,-0.035175346,-0.039741445,-0.06840554,0.024916688,0.025870943,-0.035630055,-0.025770627,-0.07209058,-0.12554681,-0.10523606,0.11444598,0.13195269,-0.03404753,0.029787168,-0.0062629324,-0.06256447,-0.14189298,-0.014641517,0.011899647,0.08403801,0.124350734,0.10847584,0.12286619,-0.06029849,-0.060159978,0.06343012,0.006976602,0.010311359,0.10814657,0.057887454,0.015980998,0.10252868,-0.11451538,-0.05447875,-0.13838512,-0.046599276,-0.1463166,0.130732,0.11291064,-0.08229566,0.14270724,0.121462375,-0.115765385,0.02286053,-0.010594497
class 9,-0.16231309,0.07359961,-0.06195762,-0.056487914,0.08214536,-0.04816026,-0.17637508,0.060431834,0.02661661,-0.09116781,0.075981155,0.11738329,0.011118405,0.0976337,-0.029128615,-0.109086156,0.07468002,-0.008622312,-0.029981798,0.11391172,-0.010421533,0.101119116,-0.0475601,-0.018112617,0.04926966,0.041932188,-0.06898731,0.06456512,-0.12207626,-0.036627576,-0.06833227,-0.11908951,0.09462041,0.090885065,0.10843477,0.04619646,-0.033311967,0.054346275,-0.07520318,0.0061542303,-0.11129775,0.101049535,-0.08717038,-0.03679864,0.08988026,0.10466111,0.039670452
class 10,-0.09921719,0.091803096,-0.10384127,0.097156934,-0.07746369,0.011935299,0.052333113,0.099737845,0.05090133,-0.07810844,0.14351475,0.031077454,-0.07467474,0.09037233,-0.12130401,-0.014917671,0.107470386,-0.07143451,0.06264865,0.09228637,-0.07846033,-0.117077865,0.09295843,-0.054312028,-0.047324933,-0.123876445,0.05413993,0.07959918,-0.048846472,0.037715673,0.011594285,-0.09099385,0.110786095,0.12906486,-0.015225985,-0.09748331,0.037625633,-0.00528723,-0.032987826,0.05532124,0.041242577,-0.014698038,0.045182064,0.06442158,-0.14827599,-0.08820711,0.12933367
